state,state_name,county,NAME,population_size,percent_65plus,count_65plus,CODE
40,Rhode Island,95,"Marshall County, Oklahoma",16014,20.60072437,3299,RI
12,Hawaii,107,"Putnam County, Florida",72696,20.59398041,14971,HI
49,West Virginia,25,"Kane County, Utah",7202,20.59150236,1483,WV
29,Nevada,121,"Macon County, Missouri",15460,20.58861578,3183,NV
31,New Jersey,89,"Holt County, Nebraska",10398,20.58088094,2140,NJ
48,Washington,53,"Burnet County, Texas",44144,20.57357738,9082,WA
47,Virginia,145,"Roane County, Tennessee",53162,20.57296565,10937,VA
54,Wyoming,9,"Brooke County, West Virginia",23665,20.57046271,4868,WY
5,California,95,"Monroe County, Arkansas",7713,20.56268637,1586,CA
19,Louisiana,91,"Humboldt County, Iowa",9674,20.52925367,1986,LA
48,Washington,301,"Loving County, Texas",117,20.51282051,24,WA
20,Maine,3,"Anderson County, Kansas",7896,20.50405268,1619,ME
19,Louisiana,141,"O'Brien County, Iowa",14092,20.50099347,2889,LA
23,Michigan,9,"Hancock County, Maine",54658,20.49837169,11204,MI
20,Maine,109,"Logan County, Kansas",2793,20.47977086,572,ME
51,Wyoming,1,"Accomack County, Virginia",33115,20.46806583,6778,WY
19,Louisiana,177,"Van Buren County, Iowa",7432,20.45209903,1520,LA
27,Montana,61,"Itasca County, Minnesota",45354,20.44803104,9274,MT
30,New Hampshire,103,"Treasure County, Montana",812,20.44334975,166,NH
48,Washington,275,"Knox County, Texas",3796,20.44257113,776,WA
46,Vermont,9,"Bon Homme County, South Dakota",7013,20.43348068,1433,VT
72,Wyoming,117,"Rincon Municipio, Puerto Rico",14841,20.42315208,3031,WY
8,Delaware,121,"Washington County, Colorado",4795,20.41710115,979,DE
8,Delaware,85,"Montrose County, Colorado",40815,20.41651354,8333,DE
35,North Dakota,19,"Guadalupe County, New Mexico",4526,20.41537782,924,ND
19,Louisiana,43,"Clayton County, Iowa",17806,20.41446703,3635,LA
72,Wyoming,125,"San German Municipio, Puerto Rico",34125,20.3956044,6960,WY
29,Nevada,137,"Monroe County, Missouri",8680,20.39170507,1770,NV
51,Wyoming,690,"Martinsville city, Virginia",13624,20.39048738,2778,WY
